Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2006","2006","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2007","2007","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2008","2008","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2009","2009","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2010","2010","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2011","2011","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2012","2012","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2013","2013","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2014","2014","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2015","2015","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2016","2016","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2017","2017","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2018","2018","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2019","2019","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","1990","1990","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","1991","1991","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","1992","1992","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","1993","1993","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","1994","1994","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","1995","1995","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","1996","1996","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","1997","1997","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","1998","1998","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","1999","1999","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2000","2000","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2001","2001","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2002","2002","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2003","2003","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2004","2004","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2005","2005","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2006","2006","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2007","2007","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2008","2008","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2009","2009","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2010","2010","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2011","2011","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2012","2012","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2013","2013","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2014","2014","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2015","2015","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2016","2016","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2017","2017","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2018","2018","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2019","2019","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","1990","1990","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","1991","1991","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","1992","1992","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","1993","1993","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","1994","1994","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","1995","1995","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","1996","1996","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","1997","1997","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","1998","1998","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","1999","1999","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","2000","2000","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","2001","2001","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1329","Herbicides – Bipiridils","2002","2002","","","",""
