Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2011","2011","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2012","2012","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2013","2013","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1961","1961","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1962","1962","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1963","1963","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1964","1964","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1965","1965","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1966","1966","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1967","1967","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1968","1968","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1969","1969","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1970","1970","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1971","1971","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1972","1972","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1973","1973","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1974","1974","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1975","1975","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1976","1976","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1977","1977","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1978","1978","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1979","1979","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1980","1980","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1981","1981","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1982","1982","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1983","1983","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1984","1984","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1985","1985","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1986","1986","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5164","Tourist consumption","2558","Rape and Mustardseed","1987","1987","","","",""
